Amount,Class,Hour
149.62,0,0.0
2.69,0,0.0
378.66,0,0.0
123.5,0,0.0
69.99,0,0.0
3.67,0,0.0
4.99,0,0.0
40.8,0,0.0
93.2,0,0.0
3.68,0,0.0
7.8,0,0.0
9.99,0,0.0
121.5,0,0.0
27.5,0,0.0
58.8,0,0.0
15.99,0,0.0
12.99,0,0.0
0.89,0,0.0
46.8,0,0.0
5.0,0,0.0
231.71,0,0.0
34.09,0,0.0
2.28,0,0.0
22.75,0,0.0
0.89,0,0.0
26.43,0,0.0
41.88,0,0.0
16.0,0,0.0
33.0,0,0.0
12.99,0,0.0
17.28,0,0.0
4.45,0,0.0
6.14,0,0.0
6.14,0,0.0
1.77,0,0.0
1.77,0,0.0
30.49,0,0.0
1.8,0,0.0
20.53,0,0.0
6.54,0,0.0
29.89,0,0.0
2.35,0,0.0
14.8,0,0.0
9.1,0,0.0
15.99,0,0.0
21.34,0,0.0
18.95,0,0.0
9.99,0,0.0
30.9,0,0.0
20.22,0,0.0
0.99,0,0.0
1402.95,0,0.0
7.99,0,0.0
2.09,0,0.0
0.99,0,0.0
21.76,0,0.0
120.96,0,0.0
13.84,0,0.0
13.84,0,0.0
2.67,0,0.0
169.05,0,0.0
96.94,0,0.0
34.13,0,0.0
32.51,0,0.0
243.66,0,0.0
21.55,0,0.0
59.9,0,0.0
0.75,0,0.0
45.71,0,0.0
35.0,0,0.0
67.97,0,0.0
11.45,0,0.0
3.63,0,0.0
21.66,0,0.0
26.72,0,0.0
13.18,0,0.0
59.99,0,0.0
135.51,0,0.0
9.79,0,0.0
14.8,0,0.0
1.98,0,0.0
6.67,0,0.0
1.46,0,0.0
89.17,0,0.0
7.53,0,0.0
200.01,0,0.0
0.76,0,0.0
20.22,0,0.0
10.84,0,0.0
1142.02,0,0.0
149.9,0,0.0
89.4,0,0.0
26.72,0,0.0
5.99,0,0.0
34.7,0,0.0
54.99,0,0.0
7.55,0,0.0
19.85,0,0.0
28.28,0,0.0
15.99,0,0.0
2.69,0,0.0
22.36,0,0.0
0.78,0,0.0
168.56,0,0.0
0.76,0,0.0
9.47,0,0.0
21.8,0,0.0
14.48,0,0.0
1.0,0,0.0
1.0,0,0.0
70.6,0,0.0
19.77,0,0.0
1.18,0,0.0
1.18,0,0.0
1.18,0,0.0
1.18,0,0.0
81.13,0,0.0
50.0,0,0.0
86.43,0,0.0
11.83,0,0.0
49.95,0,0.0
9.12,0,0.0
104.94,0,0.0
4.68,0,0.0
62.92,0,0.0
18.31,0,0.0
80.0,0,0.0
32.51,0,0.0
39.95,0,0.0
68.74,0,0.0
79.0,0,0.0
5.9,0,0.0
7.69,0,0.0
79.91,0,0.0
552.18,0,0.0
67.3,0,0.0
21.97,0,0.0
4.99,0,0.0
11.99,0,0.0
124.67,0,0.0
919.6,0,0.0
30.9,0,0.0
459.39,0,0.0
37.13,0,0.0
1.98,0,0.0
15.89,0,0.0
8.95,0,0.0
268.78,0,0.0
2.99,0,0.0
322.44,0,0.0
937.69,0,0.0
69.0,0,0.0
2.28,0,0.0
7.21,0,0.0
1.29,0,0.0
17.8,0,0.0
14.98,0,0.0
159.0,0,0.0
142.71,0,0.0
84.39,0,0.0
182.95,0,0.0
23.27,0,0.0
9.99,0,0.0
4.19,0,0.0
3828.04,0,0.0
35.97,0,0.0
1.0,0,0.0
24.57,0,0.0
1.0,0,0.0
148.43,0,0.0
25.8,0,0.0
110.4,0,0.0
13.95,0,0.0
9.99,0,0.0
937.69,0,0.0
54.99,0,0.0
31.17,0,0.0
23.88,0,0.0
4.49,0,0.0
137.0,0,0.0
37.89,0,0.0
82.29,0,0.0
2.69,0,0.0
20.0,0,0.0
29.99,0,0.0
40.0,0,0.0
160.86,0,0.0
8.93,0,0.0
6.24,0,0.0
230.0,0,0.0
43.71,0,0.0
165.55,0,0.0
113.0,0,0.0
1.54,0,0.0
10.0,0,0.0
8.8,0,0.0
5.97,0,0.0
15.93,0,0.0
10.0,0,0.0
3.87,0,0.0
10.0,0,0.0
35.97,0,0.0
22.37,0,0.0
4.57,0,0.0
23.57,0,0.0
13.99,0,0.0
226.07,0,0.0
148.81,0,0.0
58.0,0,0.0
1.29,0,0.0
65.0,0,0.0
11.0,0,0.0
257.3,0,0.0
169.0,0,0.0
9.9,0,0.0
9.99,0,0.0
4.9,0,0.0
39.95,0,0.0
15.36,0,0.0
9.9,0,0.0
6.0,0,0.0
6.0,0,0.0
6.74,0,0.0
6.74,0,0.0
170.43,0,0.0
0.89,0,0.0
0.89,0,0.0
614.87,0,0.0
22.99,0,0.0
71.26,0,0.0
127.69,0,0.0
1.98,0,0.0
6.45,0,0.0
1.29,0,0.0
184.31,0,0.0
500.0,0,0.0
10.0,0,0.0
1.79,0,0.0
10.0,0,0.0
20.0,0,0.0
700.0,0,0.0
22.0,0,0.0
2.28,0,0.0
65.26,0,0.0
0.99,0,0.0
1.0,0,0.0
44.2,0,0.0
5.42,0,0.0
42.9,0,0.0
355.51,0,0.0
0.89,0,0.0
71.69,0,0.0
2.29,0,0.0
1.29,0,0.0
27.99,0,0.0
23.63,0,0.0
48.0,0,0.0
318.5,0,0.0
6.47,0,0.0
224.97,0,0.0
75.83,0,0.0
1.98,0,0.0
1.98,0,0.0
4.65,0,0.0
23.32,0,0.0
8.09,0,0.0
82.29,0,0.0
99.95,0,0.0
20.0,0,0.0
127.75,0,0.0
20.7,0,0.0
1.79,0,0.0
37.2,0,0.0
1.0,0,0.0
32.77,0,0.0
5.99,0,0.0
0.89,0,0.0
63.9,0,0.0
6.45,0,0.0
61.18,0,0.0
9.99,0,0.0
196.7,0,0.0
79.0,0,0.0
137.3,0,0.0
39.94,0,0.0
1.98,0,0.0
12.99,0,0.0
153.91,0,0.0
101.0,0,0.0
10.27,0,0.0
8.97,0,0.0
1.19,0,0.0
45.0,0,0.0
95.56,0,0.0
13.99,0,0.0
12.99,0,0.0
526.96,0,0.0
70.0,0,0.0
4.38,0,0.0
12.99,0,0.0
24.0,0,0.0
1.0,0,0.0
17.56,0,0.0
12.99,0,0.0
18.96,0,0.0
22.58,0,0.0
99.82,0,0.0
25.36,0,0.0
7.81,0,0.0
18.61,0,0.0
49.99,0,0.0
17.24,0,0.0
34.0,0,0.0
35.11,0,0.0
1.0,0,0.0
29.95,0,0.0
45.3,0,0.0
79.18,0,0.0
26.98,0,0.0
1.98,0,0.0
42.81,0,0.0
25.0,0,0.0
0.99,0,0.0
7.14,0,0.0
9.99,0,0.0
32.51,0,0.0
8.99,0,0.0
10.0,0,0.0
10.62,0,0.0
4.81,0,0.0
12.2,0,0.0
12.31,0,0.0
2.69,0,0.0
100.37,0,0.0
1.5,0,0.0
1.98,0,0.0
2.98,0,0.0
18.94,0,0.0
10.0,0,0.0
13.28,0,0.0
5.96,0,0.0
31.8,0,0.0
120.0,0,0.0
24.0,0,0.0
231.71,0,0.0
13.53,0,0.0
18.45,0,0.0
1.98,0,0.0
13.79,0,0.0
20.17,0,0.0
9.99,0,0.0
55.45,0,0.0
0.99,0,0.0
26.5,0,0.0
99.0,0,0.0
5.46,0,0.0
1.98,0,0.0
49.99,0,0.0
24.84,0,0.0
13.08,0,0.0
9.03,0,0.0
1.0,0,0.0
10.35,0,0.0
14.9,0,0.0
154.4,0,0.0
122.36,0,0.0
2.28,0,0.0
6.54,0,0.0
2.6,0,0.0
6.47,0,0.0
52.95,0,0.0
0.89,0,0.0
5.99,0,0.0
208.38,0,0.0
32.51,0,0.0
6.51,0,0.0
18.0,0,0.0
1.98,0,0.0
70.33,0,0.0
2.69,0,0.0
19.29,0,0.0
8.99,0,0.0
109.15,0,0.0
0.0,0,0.0
27.0,0,0.0
2.0,0,0.0
11.64,0,0.0
94.5,0,0.0
2.31,0,0.0
7.89,0,0.0
1.0,0,0.0
11.99,0,0.0
302.1,0,0.0
30.3,0,0.0
8.99,0,0.0
160.0,0,0.0
380.95,0,0.0
156.98,0,0.0
6.54,0,0.0
74.47,0,0.0
30.5,0,0.0
85.0,0,0.0
67.36,0,0.0
101.0,0,0.0
4.45,0,0.0
23.88,0,0.0
5.0,0,0.0
73.0,0,0.0
33.33,0,0.0
6.86,0,0.0
54.75,0,0.0
6.2,0,0.0
12.31,0,0.0
13.99,0,0.0
36.0,0,0.0
1.91,0,0.0
90.0,0,0.0
9.99,0,0.0
2.95,0,0.0
90.0,0,0.0
1.98,0,0.0
379.63,0,0.0
52.9,0,0.0
9.97,0,0.0
60.0,0,0.0
1.0,0,0.0
14.6,0,0.0
7.8,0,0.0
22.09,0,0.0
222.5,0,0.0
11.5,0,0.0
8.58,0,0.0
140.6,0,0.0
493.44,0,0.0
33.26,0,0.0
15.08,0,0.0
68.0,0,0.0
11.46,0,0.0
69.99,0,0.0
19.99,0,0.0
7.69,0,0.0
10.0,0,0.0
1.79,0,0.0
9.99,0,0.0
29.56,0,0.0
0.77,0,0.0
52.0,0,0.0
0.89,0,0.0
17.24,0,0.0
36.71,0,0.0
2.5,0,0.0
55.76,0,0.0
32.38,0,0.0
0.89,0,0.0
11.34,0,0.0
75.0,0,0.0
216.0,0,0.0
1.03,0,0.0
4.8,0,0.0
7.72,0,0.0
2.0,0,0.0
98.0,0,0.0
47.0,0,0.0
0.99,0,0.0
22.0,0,0.0
62.63,0,0.0
197.63,0,0.0
75.83,0,0.0
456.71,0,0.0
6.0,0,0.0
5.0,0,0.0
10.99,0,0.0
204.03,0,0.0
3.99,0,0.0
12.99,0,0.0
13.99,0,0.0
2.67,0,0.0
12.87,0,0.0
611.76,0,0.0
2.31,0,0.0
11.38,0,0.0
23.88,0,0.0
2.61,0,0.0
19.64,0,0.0
20.48,0,0.0
105.87,0,0.0
15.0,0,0.0
0.75,0,0.0
17.43,0,0.0
41.64,0,0.0
1.29,0,0.0
0.89,0,0.0
79.0,0,0.0
37.92,0,0.0
74.22,0,0.0
0.68,0,0.0
9.99,0,0.0
97.47,0,0.0
1.29,0,0.0
1.98,0,0.0
1.98,0,0.0
1.0,0,0.0
32.63,0,0.0
1.98,0,0.0
4.79,0,0.0
10.29,0,0.0
1.79,0,0.0
29.18,0,0.0
12.89,0,0.0
4.45,0,0.0
11.39,0,0.0
40.83,0,0.0
85.25,0,0.0
881.13,0,0.0
0.0,0,0.0
9.99,0,0.0
45.38,0,0.0
17.99,0,0.0
16.0,0,0.0
510.22,0,0.0
1.0,0,0.0
575.33,0,0.0
10.0,0,0.0
12.99,0,0.0
9.99,0,0.0
8.93,0,0.0
29.95,0,0.0
27.7,0,0.0
82.29,0,0.0
64.04,0,0.0
1.0,0,0.0
1.55,0,0.0
15.19,0,0.0
0.01,0,0.0
0.0,0,0.0
411.88,0,0.0
52.4,0,0.0
15.0,0,0.0
0.99,0,0.0
27.13,0,0.0
1.98,0,0.0
0.0,1,0.0
46.68,0,0.0
146.25,0,0.0
7.3,0,0.0
0.77,0,0.0
72.0,0,0.0
56.09,0,0.0
39.77,0,0.0
0.89,0,0.0
235.7,0,0.0
10.0,0,0.0
40.0,0,0.0
57.5,0,0.0
30.0,0,0.0
29.99,0,0.0
1.0,0,0.0
24.02,0,0.0
8.61,0,0.0
29.99,0,0.0
0.89,0,0.0
10.69,0,0.0
12.41,0,0.0
1.0,0,0.0
60.92,0,0.0
43.34,0,0.0
3.75,0,0.0
3.59,0,0.0
16.19,0,0.0
4.95,0,0.0
11.36,0,0.0
12.98,0,0.0
539.17,0,0.0
246.96,0,0.0
10.0,0,0.0
0.0,0,0.0
2.31,0,0.0
30.0,0,0.0
102.13,0,0.0
22.03,0,0.0
34.27,0,0.0
5.31,0,0.0
25.03,0,0.0
15.8,0,0.0
